donem,tablo,kalem,sayi
2026-04,trafik_cezalari,Yolculara Uygulanan,8708
2026-04,trafik_cezalari,Sürücülere Uygulanan,410622
2026-04,trafik_cezalari,Araç Plakasına Uygulanan,1713972
2026-04,diger_ekip_faaliyetleri,Alkollü Olarak Araç Kullanan,19541
2026-04,diger_ekip_faaliyetleri,100 Ceza Puanını Dolduran,856
2026-04,diger_ekip_faaliyetleri,51. Madde (Hız İhlali),625
2026-04,diger_ekip_faaliyetleri,Diğer İşlemler,1193
2026-04,diger_ekip_faaliyetleri,Mülki Amire Sevk Edilen Sür. Sayısı,6
2026-04,diger_ekip_faaliyetleri,Trafikten Men Edilen Araç Sayısı,197793
2026-05,kaza_olus_sekli,Karşılıklı Çarpışma,1352
2026-05,kaza_olus_sekli,Arkadan Çarpma,2865
2026-05,kaza_olus_sekli,Yandan Çarpma,8637
2026-05,kaza_olus_sekli,Yan Yana Çarpışma,484
2026-05,kaza_olus_sekli,Duran Araca Çarpma,297
2026-05,kaza_olus_sekli,Zincirleme Çarpışma,134
2026-05,kaza_olus_sekli,Çoklu Çarpışma,140
2026-05,kaza_olus_sekli,Engel/Cisim ile Çarpışma,1067
2026-05,kaza_olus_sekli,Yayaya Çarpma,3389
2026-05,kaza_olus_sekli,Hayvana Çarpma,88
2026-05,kaza_olus_sekli,Devrilme/Savrulma/Takla,3596
2026-05,kaza_olus_sekli,Yoldan Çıkma,2243
2026-05,kaza_olus_sekli,Araçtan Insan Düşmesi,187
2026-05,kaza_olus_sekli,Araçtan Cisim Düşmesi,6
2026-05,kaza_olus_sekli,Park etmis araca çarpma,254
2026-05,karisan_arac_sayisi,Tek Araçlı,9776
2026-05,karisan_arac_sayisi,İki Araçlı,13390
2026-05,karisan_arac_sayisi,Çok Araçlı,1573
2026-05,kusur_unsurlari,SÜRÜCÜ,26588
2026-05,kusur_unsurlari,YAYA,2287
2026-05,kusur_unsurlari,YOLCU,173
2026-05,kusur_unsurlari,ARAÇ,311
2026-05,kusur_unsurlari,YOL,108
2026-05,surucu_kusurlari,"Araç hızını yol, hava ve trafiğin gerektirdiği şartlara uydurmamak",9806
2026-05,surucu_kusurlari,"Kavşak,geçit ve kaplamanın dar old.yerlerde geçiş önc.uymamak",4623
2026-05,surucu_kusurlari,Şerit izleme ve değiştirme kural.uymamak,2195
2026-05,surucu_kusurlari,Arkadan Çarpma,2387
2026-05,surucu_kusurlari,Doğrultu Değiştirme (dönüş) kurallarına uymamak,2042
2026-05,surucu_kusurlari,Manevraları düzenleyen genel şartlara uymamak,1125
2026-05,surucu_kusurlari,Kırmızı ışık veya görevlinin dur işaretinde durmamak,535
2026-05,surucu_kusurlari,Taşıt giremez trafik işareti bulunan yerlere girmek,879
2026-05,surucu_kusurlari,Trafik güvenliği ile ilgili diğer kurallara uymamak,487
2026-05,surucu_kusurlari,"Yaya ve okul geçitlerinde yavaşlamamak, yayalara geçiş hakkı vermemek",338
2026-05,surucu_kusurlari,Alkollü olarak araç kullanmak,158
2026-05,surucu_kusurlari,Aşırı hızla araç kullanmak,151
2026-05,surucu_kusurlari,Geçme yasağı olan yerlerden geçmek,370
2026-05,surucu_kusurlari,Hatalı şekilde veya yasak olan yerlere park etmek,107
2026-05,surucu_kusurlari,DİĞER,1385
2026-05,karisan_arac_cinsi,Bisiklet,763
2026-05,karisan_arac_cinsi,At Arabası,1
2026-05,karisan_arac_cinsi,Motorlu Bisiklet,3728
2026-05,karisan_arac_cinsi,Motosiklet,9443
