donem,plaka,il,olumlu_yaralanmali_kaza,maddi_hasarli_kaza,olu,yarali,hesaplanan_alan
2026-04,71,Kırıkkale,101,115,1,152,
2026-04,72,Batman,109,156,0,145,
2026-04,73,Şırnak,95,80,1,156,
2026-04,74,Bartın,58,43,0,108,
2026-04,75,Ardahan,12,27,0,18,
2026-04,76,Iğdır,34,33,1,46,
2026-04,77,Yalova,93,81,0,120,
2026-04,78,Karabük,59,68,1,71,
2026-04,79,Kilis,49,18,0,67,
2026-04,80,Osmaniye,223,107,0,297,
2026-04,81,Düzce,117,85,0,162,
2026-05,1,Adana,545,601,5,768,
2026-05,2,Adıyaman,182,153,1,261,
2026-05,3,Afyonkarahisar,266,286,3,459,
2026-05,4,Ağrı,84,102,0,144,
2026-05,5,Amasya,130,158,3,204,
2026-05,6,Ankara,1440,6215,7,1973,
2026-05,7,Antalya,1271,994,19,1720,
2026-05,8,Artvin,27,36,0,34,
2026-05,9,Aydın,578,364,2,801,
2026-05,10,Balıkesir,502,393,9,784,
2026-05,11,Bilecik,71,63,0,99,
2026-05,12,Bingöl,82,70,0,156,
2026-05,13,Bitlis,86,72,2,178,
2026-05,14,Bolu,95,137,3,160,
2026-05,15,Burdur,132,89,4,207,
2026-05,16,Bursa,951,1502,6,1270,
2026-05,17,Çanakkale,236,175,4,402,
2026-05,18,Çankırı,105,127,2,206,
2026-05,19,Çorum,213,296,0,379,
2026-05,20,Denizli,386,457,9,579,
2026-05,21,Diyarbakır,331,411,1,602,
2026-05,22,Edirne,121,109,0,182,
2026-05,23,Elazığ,150,166,1,258,
2026-05,24,Erzincan,89,93,2,151,
2026-05,25,Erzurum,146,222,0,270,
2026-05,26,Eskişehir,244,274,1,350,
2026-05,27,Gaziantep,492,429,5,804,
2026-05,28,Giresun,96,135,6,163,
2026-05,29,Gümüşhane,38,58,2,59,
2026-05,30,Hakkari,25,18,1,55,
2026-05,31,Hatay,626,367,4,895,
2026-05,32,Isparta,184,80,1,271,
2026-05,33,Mersin,740,397,8,988,
2026-05,34,İstanbul,3566,5138,8,4300,
2026-05,35,İzmir,1278,2095,11,1592,
2026-05,36,Kars,60,56,3,99,
2026-05,37,Kastamonu,120,128,4,228,
2026-05,38,Kayseri,459,395,1,747,
2026-05,39,Kırklareli,92,99,1,146,
2026-05,40,Kırşehir,84,70,1,163,
2026-05,41,Kocaeli,680,865,1,891,
2026-05,42,Konya,744,812,3,1143,
2026-05,43,Kütahya,179,154,1,303,
2026-05,44,Malatya,187,169,3,357,
2026-05,45,Manisa,525,508,2,773,
2026-05,46,Kahramanmaraş,352,275,1,600,
2026-05,47,Mardin,177,136,1,295,
2026-05,48,Muğla,648,501,8,882,
2026-05,49,Muş,53,42,1,78,
2026-05,50,Nevşehir,127,162,3,220,
2026-05,51,Niğde,139,162,7,240,
2026-05,52,Ordu,238,329,1,329,
2026-05,53,Rize,89,131,1,125,
2026-05,54,Sakarya,354,280,1,532,
2026-05,55,Samsun,468,598,1,658,
2026-05,56,Siirt,72,62,2,100,
2026-05,57,Sinop,86,61,0,150,
2026-05,58,Sivas,175,172,5,369,
2026-05,59,Tekirdağ,332,481,3,460,
2026-05,60,Tokat,203,191,0,343,
2026-05,61,Trabzon,188,276,2,263,
2026-05,62,Tunceli,17,17,0,26,
2026-05,63,Şanlıurfa,381,320,2,571,
2026-05,64,Uşak,121,144,5,213,
2026-05,65,Van,182,206,1,336,
2026-05,66,Yozgat,110,133,5,219,
2026-05,67,Zonguldak,159,153,0,249,
2026-05,68,Aksaray,149,231,0,248,
2026-05,69,Bayburt,23,15,0,40,
2026-05,70,Karaman,106,50,1,146,
2026-05,71,Kırıkkale,95,162,2,169,
2026-05,72,Batman,142,144,1,226,
2026-05,73,Şırnak,101,61,2,142,
2026-05,74,Bartın,65,53,0,93,
2026-05,75,Ardahan,9,26,0,16,
2026-05,76,Iğdır,41,37,1,50,
2026-05,77,Yalova,123,76,0,174,
2026-05,78,Karabük,71,49,1,112,
2026-05,79,Kilis,68,18,0,133,
2026-05,80,Osmaniye,291,142,1,439,
2026-05,81,Düzce,146,116,1,202,
2026-06,1,Adana,606,529,6,829,
2026-06,2,Adıyaman,179,161,1,258,
2026-06,3,Afyonkarahisar,298,276,0,471,
2026-06,4,Ağrı,92,92,2,176,
2026-06,5,Amasya,167,123,2,235,
2026-06,6,Ankara,1765,6714,8,2329,
2026-06,7,Antalya,1471,1026,9,1969,
2026-06,8,Artvin,36,32,1,49,
2026-06,9,Aydın,572,408,1,793,
2026-06,10,Balıkesir,630,396,5,896,
2026-06,11,Bilecik,132,69,1,191,
2026-06,12,Bingöl,66,89,1,100,
2026-06,13,Bitlis,67,59,0,131,
2026-06,14,Bolu,139,121,3,196,
2026-06,15,Burdur,112,88,1,179,
2026-06,16,Bursa,1110,1588,5,1509,
2026-06,17,Çanakkale,256,171,3,347,
2026-06,18,Çankırı,74,97,0,119,
2026-06,19,Çorum,239,252,3,365,
2026-06,20,Denizli,451,460,5,604,
2026-06,21,Diyarbakır,337,390,1,539,
2026-06,22,Edirne,139,132,3,203,
2026-06,23,Elazığ,196,155,0,332,
2026-06,24,Erzincan,105,107,0,184,
2026-06,25,Erzurum,182,204,6,299,
2026-06,26,Eskişehir,290,305,1,416,
2026-06,27,Gaziantep,591,406,4,836,
2026-06,28,Giresun,114,117,0,179,
2026-06,29,Gümüşhane,40,44,0,80,
2026-06,30,Hakkari,30,17,0,48,
2026-06,31,Hatay,730,331,2,991,
2026-06,32,Isparta,205,78,6,319,
2026-06,33,Mersin,759,404,13,1009,
2026-06,34,İstanbul,4261,5506,19,5194,
2026-06,35,İzmir,1458,2322,7,1880,
2026-06,36,Kars,53,48,1,100,
2026-06,37,Kastamonu,111,100,0,172,
2026-06,38,Kayseri,586,360,6,872,
2026-06,39,Kırklareli,97,87,3,150,
2026-06,40,Kırşehir,85,71,1,149,
2026-06,41,Kocaeli,867,973,1,1094,
2026-06,42,Konya,879,902,7,1263,
2026-06,43,Kütahya,262,145,2,401,
2026-06,44,Malatya,246,198,2,349,
2026-06,45,Manisa,587,497,2,829,
2026-06,46,Kahramanmaraş,390,262,0,556,
2026-06,47,Mardin,150,169,2,256,
2026-06,48,Muğla,707,518,3,932,
2026-06,49,Muş,51,65,0,76,
2026-06,50,Nevşehir,174,139,2,261,
2026-06,51,Niğde,183,150,0,285,
2026-06,52,Ordu,311,304,0,444,
2026-06,53,Rize,121,112,7,163,
2026-06,54,Sakarya,406,325,0,527,
2026-06,55,Samsun,560,572,3,749,
2026-06,56,Siirt,65,63,0,92,
2026-06,57,Sinop,107,47,0,157,
2026-06,58,Sivas,206,161,5,337,
2026-06,59,Tekirdağ,440,558,5,602,
2026-06,60,Tokat,255,163,2,372,
2026-06,61,Trabzon,255,268,1,348,
2026-06,62,Tunceli,32,23,0,66,
2026-06,63,Şanlıurfa,388,324,9,625,
2026-06,64,Uşak,142,138,1,201,
2026-06,65,Van,204,190,4,343,
2026-06,66,Yozgat,133,99,1,185,
2026-06,67,Zonguldak,194,128,0,253,
2026-06,68,Aksaray,142,220,0,216,
2026-06,69,Bayburt,37,17,0,64,
2026-06,70,Karaman,125,67,1,167,
2026-06,71,Kırıkkale,110,143,1,158,
2026-06,72,Batman,136,190,0,208,
2026-06,73,Şırnak,88,56,0,139,
2026-06,74,Bartın,83,38,1,109,
2026-06,75,Ardahan,22,25,0,33,
2026-06,76,Iğdır,43,36,0,69,
2026-06,77,Yalova,160,94,0,226,
2026-06,78,Karabük,78,63,2,105,
2026-06,79,Kilis,46,8,0,67,
2026-06,80,Osmaniye,299,126,1,405,
2026-06,81,Düzce,160,91,1,228,
2026-07,1,Adana,536,520,9,736,
2026-07,2,Adıyaman,240,190,0,380,
2026-07,3,Afyonkarahisar,365,395,7,580,
2026-07,4,Ağrı,83,91,0,141,
2026-07,5,Amasya,168,168,2,355,
2026-07,6,Ankara,1602,5947,11,2208,
2026-07,7,Antalya,1538,1090,17,2074,
2026-07,8,Artvin,30,27,1,60,
2026-07,9,Aydın,676,492,4,909,
2026-07,10,Balıkesir,675,485,9,926,
2026-07,11,Bilecik,109,62,1,161,
2026-07,12,Bingöl,88,86,5,174,
2026-07,13,Bitlis,106,98,1,198,
2026-07,14,Bolu,148,140,1,242,
2026-07,15,Burdur,143,108,1,224,
2026-07,16,Bursa,1099,1566,8,1458,
2026-07,17,Çanakkale,282,219,3,398,
2026-07,18,Çankırı,85,90,5,168,
2026-07,19,Çorum,235,321,0,350,
2026-07,20,Denizli,516,521,2,696,
2026-07,21,Diyarbakır,380,402,0,647,
2026-07,22,Edirne,130,139,0,177,
2026-07,23,Elazığ,206,196,1,345,
2026-07,24,Erzincan,146,121,1,245,
2026-07,25,Erzurum,218,266,3,360,
2026-07,26,Eskişehir,346,283,0,527,
2026-07,27,Gaziantep,649,429,4,925,
2026-07,28,Giresun,138,141,5,227,
2026-07,29,Gümüşhane,37,69,0,68,
2026-07,30,Hakkari,38,11,2,76,
2026-07,31,Hatay,744,342,2,1066,
2026-07,32,Isparta,246,99,0,352,
2026-07,33,Mersin,758,427,5,1019,
2026-07,34,İstanbul,4097,5441,9,5053,
2026-07,35,İzmir,1479,2283,2,1935,
2026-07,36,Kars,59,51,1,119,
2026-07,37,Kastamonu,155,134,2,282,
2026-07,38,Kayseri,688,417,8,1038,
2026-07,39,Kırklareli,115,107,1,156,
2026-07,40,Kırşehir,99,99,1,155,
2026-07,41,Kocaeli,816,949,4,1028,
2026-07,42,Konya,1004,960,11,1521,
2026-07,43,Kütahya,272,161,1,438,
2026-07,44,Malatya,323,227,4,529,
2026-07,45,Manisa,692,550,6,957,
2026-07,46,Kahramanmaraş,437,327,2,724,
2026-07,47,Mardin,195,152,3,319,
2026-07,48,Muğla,904,690,6,1251,
2026-07,49,Muş,70,71,2,118,
2026-07,50,Nevşehir,186,160,5,262,
2026-07,51,Niğde,176,163,0,246,
2026-07,52,Ordu,295,354,0,427,
2026-07,53,Rize,122,172,1,183,
2026-07,54,Sakarya,414,347,0,641,
2026-07,55,Samsun,607,645,1,856,
2026-07,56,Siirt,66,67,0,96,
2026-07,57,Sinop,105,94,0,171,
2026-07,58,Sivas,235,197,3,422,
2026-07,59,Tekirdağ,451,575,4,619,
2026-07,60,Tokat,294,226,2,466,
