cadde,konum,enlem,boylam,olay,eslesme_uzakligi_km
Mehmet Akif Caddesi,Nato Kavşağı,38.39343,27.14262,12,0.01
Akçay Caddesi,Gediz Kavşağı,38.36156,27.13729,12,0.61
Mustafa Kemal Sahil Bulvarı,Göztepe Köprü Sonrası,38.4003,27.09155,12,0.01
Sarnıç Yolu,Sarnıç Köprü Üstü,38.31154,27.14452,12,0.06
Yeşildere Caddesi,Ballıkuyu Üst Geçit Öncesi,38.41693,27.15518,12,0.43
Halil Rıfat Paşa Caddesi,Konak Tüneli Sonrası,38.41537,27.12828,12,0.18
Anadolu Caddesi,Naldöken köprü öncesi,38.46651,27.12936,12,0.01
Mürselpaşa Bulvarı,Hilal Köprü Girişi,38.42474,27.14908,11,0.47
Mürselpaşa Bulvarı,Hilal Köprü İnişi,38.42474,27.14908,11,0.47
Akçay Caddesi,Gaziemir Alt Geçit Girişi,38.32582,27.13665,11,0.29
Mürselpaşa Bulvarı,Bozkurt Kavşağı,38.42373,27.14335,11,1.49
Gaziler Caddesi,Basmane Gar Hizası,38.42226,27.14481,11,0
Mustafa Kemal Sahil Bulvarı,Göztepe Üst Geçit Öncesi,38.4003,27.09155,11,0.01
Caher Dudayev Bulvarı,Bilim Müzesi Hizası,38.47414,27.08221,11,0.01
Mustafa Kemal Sahil Bulvarı,Konak Alt Geçit Sonrası,38.41887,27.12775,11,0.05
Anadolu Caddesi,Naldöken Köprü Üstü,38.46651,27.12936,11,0.01
Akçay Caddesi,Gaziemir Kavşak İçi,38.31679,27.14045,11,0.01
Caher Dudayev Bulvarı,Atakent Kavşak İçi,38.46772,27.08771,11,0.01
Akçay Caddesi,Sarnıç Alt Geçit,38.31143,27.14218,10,0
Yeşildere Caddesi,Tepecik Köprü Sonrası,38.42168,27.1531,10,0.3
Yeşillik Caddesi,Buca Yol Ayrımı,38.38302,27.13486,10,2.94
Akçay Caddesi,Gaziemir Kavşağı,38.32582,27.13665,10,0.29
Üniversite Caddesi,Ege Üniversitesi Acil Önü,38.45837,27.21615,10,1.11
Mustafa Kemal Sahil Bulvarı,Konak Pier Hizası,38.41887,27.12775,10,0.05
Ankara Caddesi,Osman Kibar Kavşağı Öncesi,38.46153,27.22847,10,0
Ankara Caddesi,Ege Üniversitesi Hastanesi Yol Ayrımı,38.45829,27.20983,10,0.07
Altınyol Caddesi,Turan Otobüs Durakları Hizası,38.4471,27.17144,10,2.9
Anadolu Caddesi,Dedebaşı Üst Geçit Öncesi,38.4717,27.10852,10,0.01
Mürselpaşa Bulvarı,Basmane Ayrımı Öncesi,38.42397,27.14471,10,0.12
Yeşildere Caddesi,Ballıkuyu Üst Geçit Hizası,38.41693,27.15518,10,0.43
Ankara Caddesi,Osman Kibar Tüneli İçi,38.46153,27.22847,10,0
Anadolu Caddesi,Dedebaşı Üst Geçit Hizası,38.4717,27.10852,9,0.01
Anadolu Caddesi,Turan Köprü,38.46735,27.14962,9,0.01
Mustafa Kemal Sahil Bulvarı,Köprü Tramvay Durağı Hizası,38.4058,27.09851,9,0.01
Akçay Caddesi,Sarnıç Alt Geçit Çıkışı,38.31171,27.143,9,0.15
Ankara Caddesi,Ege Üniversitesi Hastanesi Viyadük Üstü,38.45829,27.20983,9,0.07
Eşrefpaşa Caddesi,Çankaya Katlı Otopark Hizası,38.41995,27.13687,9,0.29
Ankara Caddesi,Nilüfer Kavşak İçi,38.44794,27.18125,9,1.35
Altınyol Caddesi,Bayraklı Belediyesi Öncesi,38.4471,27.17144,9,1.95
Menderes Caddesi,Buca Belediyesi Hizası,38.3903,27.16416,9,0.08
Mustafa Kemal Sahil Bulvarı,Göztepe Köprü Öncesi,38.4003,27.09155,9,0.01
Gaziler Caddesi,Tepecik Köprü Üstü,38.4227,27.1563,9,0.01
Yeşildere Caddesi,Ballıkuyu Kavşak İçi,38.41691,27.15519,9,0.35
Anadolu Caddesi,Çiğli İtfaiye Kavşak İçi,38.4944,27.06168,9,0
İnönü Caddesi,Poligon Metro Hizası,38.39326,27.08483,8,0
Altınyol Caddesi,Liman Ayrımı Öncesi,38.44261,27.17074,8,1.4
Altınyol Caddesi,Turan Üst Geçit Sonrası,38.4471,27.17144,8,2.9
Ankara Caddesi,Osman Kibar Kavşak İçi,38.46153,27.22847,8,0
Yeşillik Caddesi,Karabağlar Belediyesi Sonrası,38.38857,27.13461,8,0.07
Liman Caddesi,Liman C Kapısı,38.44025,27.14992,8,0.01
Altınyol Caddesi,Turan Üst Geçit Öncesi,38.4471,27.17144,8,2.9
Mehmet Akif Caddesi,Buca Köprü Altı,38.39281,27.14959,8,1.95
Sarnıç Yolu,Sarnıç Köprü Sonrası,38.31154,27.14452,8,0.06
Yeşillik Caddesi,Karabağlar PTT Hizası,38.38424,27.13463,8,0.15
Anadolu Caddesi,Çiğli Alt Geçit Sonrası,38.4944,27.06168,8,0
Atatürk Caddesi,Alsancak Gar Hizası,38.43835,27.14758,8,0
İnönü Caddesi,Fahrettin Altay Meydanı Öncesi,38.39695,27.07004,8,0.01
Anadolu Caddesi,Maltepe Kavşak İçi,38.49034,27.06806,8,0.07
Akçay Caddesi,Serbest bölge Alt Geçit İçi,38.33586,27.13397,8,0.02
Caher Dudayev Bulvarı,Koçtaş Kavşak İçi,38.47765,27.06602,8,0.08
Akçay Caddesi,Esbaş Alt Geçit,38.33591,27.13407,7,0
Doğuş Caddesi,Tınaztepe Kavşağı,38.37532,27.19201,7,0.17
Akçay Caddesi,Sarnıç Alt Geçit Girişi,38.31171,27.143,7,0.15
Akçay Caddesi,Esbaş Alt Geçit Sonrası,38.33674,27.13382,7,0.02
Liman Caddesi,Liman C Kapısı Hizası,38.44025,27.14992,7,0.01
Hasan Ali Yücel Bulvarı,Bostanlı İskele Hizası,38.45486,27.09682,7,0.02
Anadolu Caddesi,Dedebaşı Üst Geçit Altı,38.4717,27.10852,7,0.01
Manas Bulvarı,Smyrna Meydanı,38.4611,27.17252,7,0.01
Üniversite Caddesi,Ege Üniversitesi Kavşağı Öncesi,38.45837,27.21615,7,1.11
Kamil Tunca Bulvarı,Kartal Durağı Hizası,38.43231,27.19065,7,0
Nursultan Nazarbayev Caddesi,Smyrna Meydanı,38.46175,27.17132,7,0.13
Yeşildere Caddesi,Basmane Ayrımı Öncesi,38.42444,27.15196,7,0.64
Yeşildere Caddesi,Gürçeşme Yol Ayrımı Sonrası,38.41037,27.15473,7,0.2
Anadolu Caddesi,Ayyıldız Kavşağı Sonrası,38.48046,27.09152,7,0.01
Manas Bulvarı,Smyrna Kavşak İçi,38.4611,27.17252,7,0.01
Mithatpaşa Caddesi,Fahrettin Altay Kavşak İçi,38.39696,27.06989,7,0
Şehitler Caddesi,Halkapınar Köprü Öncesi,38.43406,27.16854,7,0.08
Anadolu Caddesi,Çiğli Kavşak İçi,38.4944,27.06168,7,0
Yeşillik Caddesi,Bozyaka Ayrımı,38.38819,27.13461,7,1.26
Akçay Caddesi,Semt garajı Hizası,38.35739,27.13539,7,0.06
Yeşildere Caddesi,Basmane Ayrımı,38.42444,27.15196,6,0.64
Altınyol Caddesi,Turan Otobüs Durakları Öncesi,38.4471,27.17144,6,2.9
Şehitler Caddesi,Halkapınar Köprü Sonrası,38.43406,27.16854,6,0.08
Mürselpaşa Bulvarı,Hilal Köprü üstü,38.42474,27.14908,6,0.47
Yeşillik Caddesi,Karabağlar Belediyesi Öncesi,38.38857,27.13461,6,0.07
Anadolu Caddesi,Bayraklı Üst Geçit Altı,38.46504,27.16332,6,0.01
Ankara Caddesi,Bölge Trafik Sonrası,38.45983,27.2396,6,0
Cumhuriyet Bulvarı,Konak Pier Öncesi,38.42248,27.13116,6,0.15
Ankara Caddesi,Ege Üniversitesi Yol Ayrımı,38.46138,27.22944,6,0.19
Yeşillik Caddesi,Bozyaka Kavşağı,38.38819,27.13461,6,1.26
Yeşillik Caddesi,Karabağlar Belediyesi Önü,38.38857,27.13461,6,0.07
Anadolu Caddesi,Maltepe Kavşağı,38.48957,27.06954,6,0.29
Gaziler Caddesi,Kemer Alt Geçit Öncesi,38.42223,27.1504,6,0
Yeşildere Caddesi,Gürçeşme Yol Ayrımı Hizası,38.41037,27.15473,6,0.2
Ankara Caddesi,Osman Kibar Kavşağı,38.46153,27.22847,6,0
Anadolu Caddesi,Karşıyaka Çok Katlı Pazar Yeri Hizası,38.4674,27.11658,6,1.06
Yeşildere Caddesi,Basmane Yol Ayrımı Sonrası,38.42444,27.15196,6,0.64
Kemalpaşa Caddesi,BMC Kavşak İçi,38.4389,27.25522,6,0.25
Yalı Bulvarı,Karşıyaka Atatürk Anıtı Önü,38.45531,27.11968,6,0.01
Mithatpaşa Caddesi,Fahrettin Altay Meydanı Öncesi,38.39696,27.06989,6,0
Mürselpaşa Bulvarı,Basmane Yol Ayrımı Öncesi,38.42397,27.14471,6,0.12
Mithatpaşa Caddesi,Agora AVM Hizası,38.36344,26.77195,6,2.76
Caher Dudayev Bulvarı,Mavişehir Tramvay Durağı Sonrası,38.47533,27.06773,6,0.01
Anadolu Caddesi,Bayraklı Üst Geçit Hizası,38.46504,27.16332,6,0.01
Yeşillik Caddesi,Paşaköprü Kavşak İçi,38.36521,27.13725,6,0.05
Mustafa Kemal Sahil Bulvarı,Karataş Kavşak Sonrası,38.41046,27.11886,6,0.01
Yeşildere Caddesi,Tepecik Köprü Öncesi,38.42168,27.1531,5,0.3
Mürselpaşa Bulvarı,Basmane Katılımı,38.42397,27.14471,5,0.12
Şehitler Caddesi,Halkapınar Aktarma,38.43406,27.16854,5,0.08
